,STATION CODE,Address,Location,Temp,DO,PH,CONDUCTIVITY (mhos/cm),BOD,NI,Fec_col,Tot_col,year,WQI,WQI clf,Is_Potable
101,2307,R MANJESWAR AT BAJRAKKARA BR.,KERALA,29.0,7.3,6.9,96.0,1.9,0.2,89.0,825.0,2014.0,56.30343960784315,2,0
102,1339,"MEENACHIL AT KIDANGOOR, KERALA",KERALA,27.5,6.8,6.6,49.0,0.5,0.4,1719.0,2950.0,2014.0,78.38710745098041,3,1
103,43,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA,27.8,6.9,6.8,59.0,0.6,0.5,1916.0,3375.0,2014.0,84.56664666666668,3,1
104,2302,R NEELASWARAM AT NAMBIARKAL DAM,KERALA,30.2,7.1,6.8,14410.0,1.8,0.1,65.0,468.0,2014.0,57.19849333333334,2,0
105,1563,"R NEYYAR AT AMARAVILA, KERALA",KERALA,25.3,6.7,7.1,66.0,0.6,0.0,222.0,626.0,2014.0,46.9477988235294,1,0
106,2284,R NEYYAR AT ARUVIPURAM,KERALA,25.3,7.2,7.0,59.0,0.6,0.0,165.0,433.0,2014.0,46.444245882352945,1,0
107,2288,R PALLICKAL AT NELLIMUKAL,KERALA,25.8,6.0,7.6,120.0,1.3,1.1,212.0,523.0,2014.0,53.01535019607844,2,0
108,1156,"PAMBA AT CHENGANNUR, KERALA",KERALA,27.2,5.2,6.8,55.0,0.6,0.7,171.0,313.0,2014.0,41.58739333333333,1,0
109,1341,"PAMBA AT THAKAZHY, KERALA",KERALA,28.1,4.8,6.8,86.0,0.7,0.8,208.0,332.0,2014.0,42.42702666666666,1,0
110,1565,"PAMBA DOWN, KERALA",KERALA,28.3,3.9,6.9,62.0,0.5,0.7,155.0,284.0,2014.0,37.773206274509796,1,0
111,17,"PERIYAR NEAR ALWAYENANELOOR, KERALA",KERALA,28.1,5.0,6.9,3185.0,1.8,0.4,290.0,667.0,2014.0,55.4371262745098,2,0
112,18,"PERIYAR AT KALADY, KERALA",KERALA,27.7,7.0,7.0,36.0,1.1,0.2,276.0,541.0,2014.0,52.92131254901961,2,0
113,1338,"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA,28.0,6.3,6.9,64.0,1.2,0.3,381.0,815.0,2014.0,54.34893294117647,2,0
114,2333,RIVER PERIYAR AT MUPPATHADAM,KERALA,28.2,6.2,6.9,86.0,1.3,0.2,372.0,1007.0,2014.0,54.85007960784314,2,0
115,2334,RIVER PERIYAR AT PATHALAM,KERALA,28.0,5.7,6.8,2640.0,1.9,0.5,385.0,759.0,2014.0,59.57584666666666,2,0
116,2335,R PERIYAR AT KALAMASSERY,KERALA,28.1,5.7,6.9,53.0,3.1,0.4,574.0,1205.0,2014.0,74.19954627450981,2,0
117,2336,R PERIYAR AT PURAPPALLIKAVU,KERALA,28.1,6.6,7.1,2007.0,1.3,0.2,356.0,785.0,2014.0,56.36816549019608,2,0
118,3468,"PERIYAR AT KWA INTAKENAN ALUVA, ERNAKULAM",KERALA,28.1,6.6,7.0,46.0,1.3,0.3,228.0,472.0,2014.0,52.743665882352936,2,0
119,2300,R PERUVAMBA AT CHANDAPPURA,KERALA,27.3,6.5,6.5,43.0,0.9,0.4,87.0,188.0,2014.0,44.28149450980391,1,0
120,2303,R PULLUR AT PULLUR BR.,KERALA,28.3,6.7,6.3,54.0,0.9,0.1,136.0,610.0,2014.0,45.25674862745098,1,0
121,2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,29.1,4.3,7.2,113.0,1.8,0.4,188.0,796.0,2014.0,51.905425098039224,2,0
122,2299,R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,28.7,4.6,6.7,12561.0,1.5,0.6,72.0,171.0,2014.0,48.441287058823534,1,0
123,2305,R SHRIYA AT ANGADIMOGARU,KERALA,28.5,7.7,6.9,61.0,1.6,0.0,88.0,554.0,2014.0,54.42175294117647,2,0
124,2296,R THALLASSERY AT PATHIPPALAM,KERALA,26.6,5.8,6.5,61.0,1.0,0.4,70.0,151.0,2014.0,43.23771450980392,1,0
125,2292,R THIRUR AT THALAKKADATHUR BRIDGE,KERALA,31.0,4.5,6.9,1614.0,2.1,0.6,131.0,230.0,2014.0,53.05243294117648,2,0
126,3473,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",KERALA,28.8,6.6,7.0,14487.0,0.9,0.3,55.0,103.0,2014.0,48.47540588235294,1,0
127,1442,"VAMANAPURAM, KERALA",KERALA,25.3,6.9,7.5,54.0,0.6,0.0,319.0,1633.0,2014.0,50.97841058823529,3,1
128,1448,"NAGAVALLI AT THOTAPALLI REGULATOR, A.P.",ANDHRA PRADESH,25.9,5.5,7.6,569.0,1.3,0.9,18.0,141.0,2014.0,47.614323529411756,1,0
129,2352,"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",ANDHRA PRADESH,26.5,5.4,7.8,310.0,0.8,2.4,7.0,107.0,2014.0,43.4361694117647,1,0
130,3080,"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,18.9,7.1,7.8,516.0,0.7,0.5,2.0,1238.0,2014.0,46.288976078431375,1,0
131,3081,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,20.5,6.9,8.0,505.0,0.9,0.7,2.0,1563.0,2014.0,48.32042862745097,1,0
132,1444,"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",KARNATAKA,27.1,7.3,7.3,109.0,2.4,3.4,18.0,65.0,2014.0,60.571278039215684,2,0
133,2780,"KALI AT U/S OF WCPM, DANDELI, KARNATAKA",KARNATAKA,26.3,7.5,7.5,83.0,2.1,2.0,22.0,74.0,2014.0,58.90257725490196,2,0
134,1894,KUMARADHARA NAN U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,KARNATAKA,29.1,6.4,7.2,102.0,1.0,0.0,137.0,1223.0,2014.0,48.39181176470589,1,0
135,1892,NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,KARNATAKA,28.4,6.5,7.1,92.0,1.0,0.0,155.0,1342.0,2014.0,48.72853882352941,1,0
142,1455,"RUSHIKULYA AT GANJAM U/S, ODISHA",ODISHA,26.8,7.2,8.0,296.0,1.5,0.7,1468.0,4314.0,2014.0,87.25336862745097,3,1
145,1685,"ARASALAR RIVER KARAIKAL REGION, PONDICHERRY",PONDICHERRY,29.0,6.7,7.3,386.0,1.8965,0.2,221.0,468.0,2014.0,59.07252937254902,2,0
